Year of occurrence,Month of occurrence,Sex,Council area,Number of deaths
2020,August,Males,Glasgow City,240
2020,August,Males,Highland,118
2020,August,Males,Inverclyde,39
2020,August,Males,Midlothian,32
2020,August,Males,Moray,43
2020,August,Males,Na h-Eileanan Siar,15
2020,August,Males,North Ayrshire,57
2020,August,Males,North Lanarkshire,148
2020,August,Males,Orkney Islands,16
2020,August,Males,Perth and Kinross,55
2020,August,Males,Renfrewshire,78
2020,August,Males,Scottish Borders,53
2020,August,Males,Shetland Islands,4
2020,August,Males,South Ayrshire,63
2020,August,Males,South Lanarkshire,138
2020,August,Males,Stirling,29
2020,August,Males,West Dunbartonshire,46
2020,August,Males,West Lothian,73
2020,September,Females,Scotland,2254
2020,September,Females,Aberdeen City,93
2020,September,Females,Aberdeenshire,108
2020,September,Females,Angus,49
2020,September,Females,Argyll and Bute,38
2020,September,Females,City of Edinburgh,175
2020,September,Females,Clackmannanshire,29
2020,September,Females,Dumfries and Galloway,86
2020,September,Females,Dundee City,75
2020,September,Females,East Ayrshire,46
2020,September,Females,East Dunbartonshire,45
2020,September,Females,East Lothian,34
2020,September,Females,East Renfrewshire,30
2020,September,Females,Falkirk,75
2020,September,Females,Fife,170
2020,September,Females,Glasgow City,233
2020,September,Females,Highland,88
2020,September,Females,Inverclyde,39
2020,September,Females,Midlothian,32
2020,September,Females,Moray,39
2020,September,Females,Na h-Eileanan Siar,12
2020,September,Females,North Ayrshire,56
2020,September,Females,North Lanarkshire,153
2020,September,Females,Orkney Islands,7
2020,September,Females,Perth and Kinross,61
2020,September,Females,Renfrewshire,95
2020,September,Females,Scottish Borders,59
2020,September,Females,Shetland Islands,6
2020,September,Females,South Ayrshire,63
2020,September,Females,South Lanarkshire,139
2020,September,Females,Stirling,42
2020,September,Females,West Dunbartonshire,33
2020,September,Females,West Lothian,44
2020,September,Males,Scotland,2232
2020,September,Males,Aberdeen City,63
2020,September,Males,Aberdeenshire,86
2020,September,Males,Angus,46
2020,September,Males,Argyll and Bute,45
2020,September,Males,City of Edinburgh,157
2020,September,Males,Clackmannanshire,25
2020,September,Males,Dumfries and Galloway,85
2020,September,Males,Dundee City,72
2020,September,Males,East Ayrshire,54
2020,September,Males,East Dunbartonshire,37
2020,September,Males,East Lothian,41
2020,September,Males,East Renfrewshire,33
2020,September,Males,Falkirk,69
2020,September,Males,Fife,170
2020,September,Males,Glasgow City,272
2020,September,Males,Highland,88
2020,September,Males,Inverclyde,30
2020,September,Males,Midlothian,27
2020,September,Males,Moray,40
2020,September,Males,Na h-Eileanan Siar,15
2020,September,Males,North Ayrshire,56
2020,September,Males,North Lanarkshire,166
2020,September,Males,Orkney Islands,9
2020,September,Males,Perth and Kinross,70
2020,September,Males,Renfrewshire,74
2020,September,Males,Scottish Borders,48
2020,September,Males,Shetland Islands,9
2020,September,Males,South Ayrshire,76
2020,September,Males,South Lanarkshire,138
2020,September,Males,Stirling,32
2020,September,Males,West Dunbartonshire,40
2020,September,Males,West Lothian,59
2020,October,Females,Scotland,2579
2020,October,Females,Aberdeen City,87
2020,October,Females,Aberdeenshire,112
2020,October,Females,Angus,62
2020,October,Females,Argyll and Bute,45
2020,October,Females,City of Edinburgh,182
2020,October,Females,Clackmannanshire,29
2020,October,Females,Dumfries and Galloway,91
2020,October,Females,Dundee City,61
2020,October,Females,East Ayrshire,58
2020,October,Females,East Dunbartonshire,60
2020,October,Females,East Lothian,43
2020,October,Females,East Renfrewshire,43
2020,October,Females,Falkirk,77
2020,October,Females,Fife,165
2020,October,Females,Glasgow City,304
2020,October,Females,Highland,104
2020,October,Females,Inverclyde,33
2020,October,Females,Midlothian,36
2020,October,Females,Moray,40
2020,October,Females,Na h-Eileanan Siar,10
2020,October,Females,North Ayrshire,78
2020,October,Females,North Lanarkshire,172
2020,October,Females,Orkney Islands,12
2020,October,Females,Perth and Kinross,85
2020,October,Females,Renfrewshire,95
2020,October,Females,Scottish Borders,49
2020,October,Females,Shetland Islands,13
2020,October,Females,South Ayrshire,74
2020,October,Females,South Lanarkshire,171
2020,October,Females,Stirling,41
2020,October,Females,West Dunbartonshire,45
2020,October,Females,West Lothian,102
2020,October,Males,Scotland,2629
2020,October,Males,Aberdeen City,80
2020,October,Males,Aberdeenshire,99
2020,October,Males,Angus,64
2020,October,Males,Argyll and Bute,51
2020,October,Males,City of Edinburgh,191
2020,October,Males,Clackmannanshire,23
2020,October,Males,Dumfries and Galloway,105
2020,October,Males,Dundee City,63
2020,October,Males,East Ayrshire,88
2020,October,Males,East Dunbartonshire,60
2020,October,Males,East Lothian,49
2020,October,Males,East Renfrewshire,41
2020,October,Males,Falkirk,75
2020,October,Males,Fife,152
2020,October,Males,Glasgow City,348
2020,October,Males,Highland,111
2020,October,Males,Inverclyde,42
2020,October,Males,Midlothian,33
2020,October,Males,Moray,47
2020,October,Males,Na h-Eileanan Siar,14
2020,October,Males,North Ayrshire,70
2020,October,Males,North Lanarkshire,146
2020,October,Males,Orkney Islands,6
2020,October,Males,Perth and Kinross,78
2020,October,Males,Renfrewshire,94
2020,October,Males,Scottish Borders,53
2020,October,Males,Shetland Islands,8
2020,October,Males,South Ayrshire,80
2020,October,Males,South Lanarkshire,167
2020,October,Males,Stirling,47
2020,October,Males,West Dunbartonshire,58
2020,October,Males,West Lothian,86
2020,November,Females,Scotland,2774
2020,November,Females,Aberdeen City,88
2020,November,Females,Aberdeenshire,90
2020,November,Females,Angus,59
2020,November,Females,Argyll and Bute,42
2020,November,Females,City of Edinburgh,184
2020,November,Females,Clackmannanshire,21
2020,November,Females,Dumfries and Galloway,84
2020,November,Females,Dundee City,75
2020,November,Females,East Ayrshire,61
2020,November,Females,East Dunbartonshire,55
2020,November,Females,East Lothian,45
2020,November,Females,East Renfrewshire,51
2020,November,Females,Falkirk,84
2020,November,Females,Fife,187
2020,November,Females,Glasgow City,336
2020,November,Females,Highland,106
2020,November,Females,Inverclyde,40
2020,November,Females,Midlothian,44
2020,November,Females,Moray,34
2020,November,Females,Na h-Eileanan Siar,18
2020,November,Females,North Ayrshire,92
2020,November,Females,North Lanarkshire,185
2020,November,Females,Orkney Islands,16
2020,November,Females,Perth and Kinross,78
2020,November,Females,Renfrewshire,119
2020,November,Females,Scottish Borders,47
2020,November,Females,Shetland Islands,5
2020,November,Females,South Ayrshire,95
2020,November,Females,South Lanarkshire,211
2020,November,Females,Stirling,45
2020,November,Females,West Dunbartonshire,62
2020,November,Females,West Lothian,115
2020,November,Males,Scotland,2888
2020,November,Males,Aberdeen City,85
2020,November,Males,Aberdeenshire,91
2020,November,Males,Angus,57
2020,November,Males,Argyll and Bute,56
2020,November,Males,City of Edinburgh,205
2020,November,Males,Clackmannanshire,23
2020,November,Males,Dumfries and Galloway,64
2020,November,Males,Dundee City,90
2020,November,Males,East Ayrshire,82
2020,November,Males,East Dunbartonshire,74
2020,November,Males,East Lothian,42
2020,November,Males,East Renfrewshire,61
2020,November,Males,Falkirk,92
2020,November,Males,Fife,177
2020,November,Males,Glasgow City,362
2020,November,Males,Highland,111
2020,November,Males,Inverclyde,31
2020,November,Males,Midlothian,41
2020,November,Males,Moray,32
2020,November,Males,Na h-Eileanan Siar,10
2020,November,Males,North Ayrshire,98
2020,November,Males,North Lanarkshire,203
2020,November,Males,Orkney Islands,12
2020,November,Males,Perth and Kinross,79
2020,November,Males,Renfrewshire,114
2020,November,Males,Scottish Borders,59
2020,November,Males,Shetland Islands,8
2020,November,Males,South Ayrshire,95
2020,November,Males,South Lanarkshire,239
2020,November,Males,Stirling,58
2020,November,Males,West Dunbartonshire,54
2020,November,Males,West Lothian,83
2020,December,Females,Scotland,3032
2020,December,Females,Aberdeen City,117
2020,December,Females,Aberdeenshire,137
2020,December,Females,Angus,79
2020,December,Females,Argyll and Bute,48
2020,December,Females,City of Edinburgh,233
2020,December,Females,Clackmannanshire,31
2020,December,Females,Dumfries and Galloway,97
2020,December,Females,Dundee City,77
2020,December,Females,East Ayrshire,89
2020,December,Females,East Dunbartonshire,64
2020,December,Females,East Lothian,47
2020,December,Females,East Renfrewshire,43
2020,December,Females,Falkirk,67
2020,December,Females,Fife,221
2020,December,Females,Glasgow City,334
2020,December,Females,Highland,110
2020,December,Females,Inverclyde,61
2020,December,Females,Midlothian,54
2020,December,Females,Moray,45
2020,December,Females,Na h-Eileanan Siar,18
2020,December,Females,North Ayrshire,89
2020,December,Females,North Lanarkshire,192
2020,December,Females,Orkney Islands,15
2020,December,Females,Perth and Kinross,93
2020,December,Females,Renfrewshire,122
2020,December,Females,Scottish Borders,60
2020,December,Females,Shetland Islands,5
2020,December,Females,South Ayrshire,82
2020,December,Females,South Lanarkshire,196
2020,December,Females,Stirling,50
2020,December,Females,West Dunbartonshire,63
2020,December,Females,West Lothian,93
2020,December,Males,Scotland,3061
2020,December,Males,Aberdeen City,115
2020,December,Males,Aberdeenshire,136
2020,December,Males,Angus,71
2020,December,Males,Argyll and Bute,50
2020,December,Males,City of Edinburgh,212
